JULIA,2005,14192
WIKTORIA,2005,11578
NATALIA,2005,9677
ALEKSANDRA,2005,8691
OLIWIA,2005,8588
ZUZANNA,2005,6588
MARTYNA,2005,5936
WERONIKA,2005,5732
KAROLINA,2005,5398
AMELIA,2005,4803
MAJA,2005,4580
PATRYCJA,2005,3809
ANNA,2005,3791
KINGA,2005,3767
KLAUDIA,2005,3594
MAGDALENA,2005,3499
NIKOLA,2005,3423
EMILIA,2005,3316
DOMINIKA,2005,3043
KATARZYNA,2005,2871
PAULINA,2005,2871
GABRIELA,2005,2765
ALICJA,2005,2608
MARTA,2005,2569
ZOFIA,2005,2476
MARIA,2005,2334
AGATA,2005,1885
MAŁGORZATA,2005,1688
DARIA,2005,1557
HANNA,2005,1551
JOANNA,2005,1547
KAMILA,2005,1542
SANDRA,2005,1360
LAURA,2005,1294
ROKSANA,2005,1249
JUSTYNA,2005,1189
MILENA,2005,1133
IZABELA,2005,1068
AGNIESZKA,2005,1052
MONIKA,2005,991
KORNELIA,2005,948
JAGODA,2005,909
NADIA,2005,907
OLGA,2005,893
ANGELIKA,2005,864
IGA,2005,733
EWA,2005,700
BARBARA,2005,663
EWELINA,2005,644
LENA,2005,623
MARCELINA,2005,596
SYLWIA,2005,550
SARA,2005,547
MICHALINA,2005,529
MALWINA,2005,510
NINA,2005,501
ADRIANNA,2005,477
KAJA,2005,472
KARINA,2005,431
ELIZA,2005,430
JULITA,2005,423
ANTONINA,2005,417
URSZULA,2005,382
ANASTAZJA,2005,363
DAGMARA,2005,361
NICOLE,2005,352
MARIKA,2005,348
POLA,2005,342
ŁUCJA,2005,322
MATYLDA,2005,321
VANESSA,2005,288
ANDŻELIKA,2005,279
OLIVIA,2005,279
MARLENA,2005,278
JESSICA,2005,273
NICOLA,2005,258
DOROTA,2005,254
ANITA,2005,251
LIDIA,2005,249
KALINA,2005,248
BEATA,2005,233
VICTORIA,2005,225
MAGDA,2005,223
RÓŻA,2005,221
KLARA,2005,218
HELENA,2005,217
ANETA,2005,215
SONIA,2005,200
ROZALIA,2005,196
WANESSA,2005,196
PAULA,2005,194
ANIELA,2005,191
OTYLIA,2005,184
LIWIA,2005,180
NATASZA,2005,172
MARIANNA,2005,164
LILIANA,2005,163
EDYTA,2005,159
INGA,2005,150
JULIANNA,2005,140
JULIA,2006,14279
WIKTORIA,2006,11665
OLIWIA,2006,9683
NATALIA,2006,8711
ALEKSANDRA,2006,8343
ZUZANNA,2006,7381
MARTYNA,2006,5958
MAJA,2006,5509
AMELIA,2006,5318
WERONIKA,2006,5277
